#,URL,Google Indexed,Priority,Depth,URL Type,Checked At
1,https://www.edstellar.com/,Indexed,High,0,Homepage,resumed
2,https://www.edstellar.com/about-us,Indexed,High,1,About Us,resumed
3,https://www.edstellar.com/quality-management-excellence-programs,Indexed,High,1,Quality Management Excellence Programs,resumed
4,https://www.edstellar.com/who-we-serve,Indexed,High,1,Who We Serve,resumed
5,https://www.edstellar.com/partner-program,Indexed,High,1,Partner Program,resumed
6,https://www.edstellar.com/blog,Indexed,High,1,Blog,resumed
7,https://www.edstellar.com/organizational-development-consulting,Indexed,High,1,Organizational Development Consulting,resumed
8,https://www.edstellar.com/training-administration-services,Indexed,High,1,Training Administration Services,resumed
9,https://www.edstellar.com/hrms-integration,Indexed,High,1,Hrms Integration,resumed
10,https://www.edstellar.com/training-management-software,Indexed,High,1,Training Management Software,resumed
11,https://www.edstellar.com/exceptional-customer-experience,Indexed,High,1,Exceptional Customer Experience,resumed
12,https://www.edstellar.com/coaching-solutions,Indexed,High,1,Coaching Solutions,resumed
13,https://www.edstellar.com/trainer-platform,Error: Page.goto: Connection closed while reading from the driver,High,1,Trainer Platform,resumed
14,https://www.edstellar.com/corporate-training-pricing,"Error: Page.goto: Target page, context or browser has been closed",High,1,Corporate Training Pricing,resumed
15,https://www.edstellar.com/learning-development-consulting-services,"Error: Page.goto: Target page, context or browser has been closed",High,1,Learning Development Consulting Services,resumed
16,https://www.edstellar.com/managed-training-services,"Error: Page.goto: Target page, context or browser has been closed",High,1,Managed Training Services,resumed
